"Code","Definition"
"U-1976","METHOD FOR TREATING TYPE 2 DIABETES MELLITUS (T2DM) IN PATIENTS WHO HAVE INADEQUATE CONTROL WITH DAPAGLIFLOZIN"
"U-1977","METHOD FOR TREATING TYPE 2 DIABETES MELLITUS (T2DM) IN PATIENTS WHO ARE ALREADY TREATED WITH DAPAGLIFLOZIN AND SAXAGLIPTIN"
"U-1978","TREATMENT OF ADVANCED PROSTATE CANCER WITH A REDUCED LIKELIHOOD OF CAUSING A GONADOTROPHIN RELEASING HORMONE AGONIST SIDE-EFFECT"
"U-1979","THE TREATMENT OF CARCINOID SYNDROME DIARRHEA IN COMBINATION WITH SOMATOSTATIN ANALOG (SSA) THERAPY IN ADULTS INADEQUATELY CONTROLLED BY SSA THERAPY"
"U-1980","A METHOD OF TREATING NOCTURIA DUE TO NOCTURNAL POLYURIA IN ADULTS"
"U-1981","IN COMBINATION WITH AN AROMATASE INHIBITOR AS INITIAL ENDOCRINE-BASED THERAPY FOR TREATMENT OF POSTMENOPAUSAL WOMEN WITH HORMONE RECEPTOR (HR)-POSITIVE, HUMAN EPIDERMAL GROWTH FACTOR RECEPTOR 2 (HER-2)-NEGATIVE ADVANCED OR METASTATIC BREAST CANCER"
"U-1982","USE OF REVLIMID (LENALIDOMIDE) FOR TREATMENT OF PATIENTS WITH TRANSFUSION-DEPENDENT ANEMIA DUE TO LOW-OR INTERMEDIATE-1-RISK MYELODYSPLASTIC SYNDROMES ASSOCIATED WITH A DELETION 5Q ABNORMALITY WITH OR WITHOUT ADDITIONAL CYTOGENETIC ABNORMALITIES"
"U-1983","USE OF REVLIMID (LENALIDOMIDE) FOR THE TREATMENT OF PATIENTS WITH MANTLE CELL LYMPHOMA WHOSE DISEASE HAS RELAPSED OR PROGRESSED AFTER TWO PRIOR THERAPIES, ONE OF WHICH INCLUDED BORTEZOMIB"
"U-1984","USE OF REVLIMID (LENALIDOMIDE) FOR THE TREATMENT OF PATIENTS WITH MULTIPLE MYELOMA, IN COMBINATION WITH DEXAMETHASONE"
"U-1985","USE OF REVLIMID (LENALIDOMIDE) FOR THE TREATMENT OF PATIENTS WITH MULTIPLE MYELOMA, AS MAINTENANCE FOLLOWING AUTOLOGOUS HEMATOPOIETIC STEM CELL TRANSPLANTATION (AUTO-HSCT)"
"U-1986","USE OF REVLIMID (LENALIDOMIDE) FOR THE TREATMENT OF PATIENTS WITH MULTIPLE MYELOMA, IN COMBINATION WITH DEXAMETHASONE, WHEREIN THOSE PATIENTS HAVE NOT RECEIVED PREVIOUS TREATMENT FOR MULTIPLE MYELOMA"
"U-1987","METHOD OF CONTROLLING GLYCEMIA IN DIABETICS BY ADMINISTERING AN INITIAL DOSE OF INSULIN-FDKP WITH A MEAL; DETERMINING BLOOD GLUCOSE LEVEL 1-2 HRS AFTER AND ADMINISTERING A SUPPLEMENTAL DOSE OF INSULIN-FDKP IF POSTPRANDIAL GLUCOSE LEVEL IS >140 MG/DL"
"U-1988","METHOD TO TREAT INFANTILE HEMANGIOMA"
"U-1989","INTRAVITREAL TREATMENT OF MACULAR EDEMA FOLLOWING BRANCH RETINAL VEIN OCCLUSION (BRVO) OR CENTRAL RETINAL VEIN OCCLUSION (CRVO)"
"U-1990","INTRAVITREAL TREATMENT OF DIABETIC MACULAR EDEMA"
"U-1991","REDUCTION OF MORTALITY IN ACUTE MYOCARDIAL INFARCTION"
"U-1992","USE OF TROKENDI XR FOR PROPHYLACTIC TREATMENT OF MIGRAINE"
"U-1993","ADJUNCTIVE TREATMENT TO LEVODOPA/CARBIDOPA IN PATIENTS WITH PARKINSON'S DISEASE EXPERIENCING 'OFF' EPISODES"
"U-1994","REDUCTION IN RISK OF OVERT HEPATIC ENCEPHALOPATHY (HE) IN ADULTS"
"U-1995","TREATMENT OF TARDIVE DYSKINESIA"
"U-1996","IMPROVEMENT OF GLYCEMIC CONTROL IN ADULTS WITH TYPE 2 DIABETES MELLITUS"
"U-1997","IMPROVEMENT OF GLYCEMIC CONTROL IN ADULTS WITH TYPE 2 DIABETES MELLITUS IN COMBINATION WITH METFORMIN AND/OR A PPAR-GAMMA AGONIST AND/OR SULFONYLUREA AND/OR INSULIN"
"U-1998","TREATING HR-POS., HER2-NEG. ADVANCED OR METASTATIC BREAST CANCER WITH PALBOCICLIB IN COMBO WITH AN AROMATASE INHIBITOR AS INITIAL ENDOCRINE BASED THERAPY IN POSTMENOPAUSAL WOMEN OR FULVESTRANT IN WOMEN WITH DISEASE PROGRESSION AFTER ENDOCRINE THERAPY"
"U-1999","CHRONIC IDIOPATHIC CONSTIPATION"
"U-2000","MANAGEMENT OF MODERATE TO SEVERE PAIN AS AN ADJUNCT TO OPIOID ANALGESICS"
"U-2001","USE FOR THE TREATMENT OF ASTHMA IN PATIENTS 6 YEARS OF AGE AND OLDER"
"U-2002","USE FOR MAINTENANCE TREATMENT OF CHRONIC OBSTRUCTIVE PULMONARY DISEASE"
"U-2003","A METHOD OF POSITIONING AN INTRAUTERINE SYSTEM BY HOLDING AN INSERTER HANDLE WITH ONE HAND, ADVANCING THE INSERTER THROUGH THE CERVIX AND INTO THE UTERUS, AND RETRACTING A SLIDER ON THE HANDLE TO RELEASE THE INTRAUTERINE SYSTEM"
"U-2004","REPLACEMENT THERAPY FOR ORAL CARBAMAZEPINE IN ADULTS WITH PARTIAL SEIZURES WITH COMPLEX SYMPTOMATOLOGY"
"U-2005","REPLACEMENT THERAPY FOR ORAL CARBAMAZEPINE IN ADULTS WITH GENERALIZED TONIC-CLONIC SEIZURES"
"U-2006","REPLACEMENT THERAPY FOR ORAL CARBAMAZEPINE IN ADULTS WITH MIXED SEIZURE PATTERNS THAT INCLUDE PARTIAL SEIZURES WITH COMPLEX SYMPTOMATOLOGY, GENERALIZED TONIC-CLONIC SEIZURES, OR OTHER PARTIAL OR GENERALIZED SEIZURES"
"U-2007","TREATMENT OF ADULT PATIENTS WITH NEWLY DIAGNOSED ACUTE MYELOID LEUKEMIA (AML) WHO ARE FLT3 MUTATION-POSITIVE, IN COMBINATION WITH STANDARD CYTARABINE AND DAUNORUBICIN INDUCTION AND CYTARABINE CONSOLIDATION CHEMOTHERAPY"
"U-2008","TREATMENT OF ADULT PATIENTS WITH AGGRESSIVE SYSTEMIC MASTOCYTOSIS (ASM), SYSTEMIC MASTOCYTOSIS WITH ASSOCIATED HEMATOLOGICAL NEOPLASM (SM-AHN), OR MAST CELL LEUKEMIA (MCL)"
"U-2009","METHOD OF TREATING POSTMENOPAUSAL WOMEN WITH OSTEOPOROSIS AT HIGH RISK FOR FRACTURE."
"U-2010","ACUTE TREATMENT OF MIGRAINE BY DELIVERING A POWDERED SUBSTANCE COMPRISING SUMATRIPTAN VIA A BREATH-POWERED DELIVERY DEVICE"
"U-2011","TREATMENT OF MIGRAINE VIA DELIVERY OF SUMATRIPTAN VIA THE NASAL CAVITY"
"U-2012","A METHOD FOR TREATING OVARIAN CANCER BY ADMINISTERING RUCAPARIB, WHEREIN THE CANCER IS ASSOCIATED WITH A DELETERIOUS BRCA MUTATION"
"U-2013","TREATMENT OF AMYOTROPHIC LATERAL SCLEROSIS (ALS)"
"U-2014","A METHOD OF TREATING SECONDARY HYPERPARATHYROIDISM (SHPT)"
"U-2015","SODIUM THIOSULFATE INJECTION IS INDICATED FOR SEQUENTIAL USE WITH SODIUM NITRITE FOR THE TREATMENT OF ACUTE CYANIDE POISONING"
"U-2016","TREATMENT FOR ONYCHOMYCOSIS THAT IS TINEA UNGUIUM"
"U-2017","TREATMENT OF OPIOID DEPENDENCE"
"U-2018","MANAGEMENT OF MILD TO MODERATE PAIN, MANAGEMENT OF MODERATE TO SEVERE PAIN AS AN ADJUNCT TO OPIOID ANALGESICS IN A CRITICALLY ILL PATIENT WITH INTRAVENOUS IBUPROFEN IN NEED THEREOF"
"U-2019","METHOD OF DELIVERING TO A PATIENT WITH DIABETES MELLITUS IN A SINGLE INHALATION, GREATER THAN 75% OF A DRY POWDER DOSE COMPRISING INSULIN AND FUMARYL DIKETOPIPERAZINE USING A HIGH RESISTANCE TO FLOW DRY POWDER INHALER."
"U-2020","MEKINIST IS INDICATED, IN COMBINATION WITH DABRAFENIB, FOR THE TREATMENT OF PATIENTS WITH METASTATIC NON-SMALL CELL LUNG CANCER (NSCLC) WITH BRAF V600E MUTATION AS DETECTED BY AN FDA-APPROVED TEST"
"U-2021","METHOD OF ADMINISTERING LEVETIRACETAM UNDER FASTED CONDITIONS"
"U-2022","METHOD OF ADMINISTERING LEVETIRACETAM UNDER FED CONDITIONS"
"U-2023","A METHOD OF INCREASING THE BIOAVAILABILITY OF GUAIFENESIN IN A SOLUTION CONTAINING 54% TO 66% BY WEIGHT OF PROPYLENE GLYCOL AND GLYCEROL, WHEREIN THE METHOD INCREASES THE CMAX BY AT LEAST 1.5 AND/OR INCREASES THE AUC (0-INF) BY AT LEAST 1.4"
"U-2024","METHOD FOR TRANSDERMALLY DELIVERING A DRUG TO A USER IN NEED THEREOF"
"U-2025","TREATMENT OF ATTENTION DEFICIT HYPERACTIVITY DISORDER"
"U-2026","TAFINLAR(R) IS INDICATED, IN COMBINATION WITH TRAMETINIB, FOR THE TREATMENT OF PATIENTS WITH UNRESECTABLE OR METASTATIC MELANOMA WITH BRAF V600E OR V600K MUTATIONS, AS DETECTED BY AN FDA-APPROVED TEST."
"U-2027","TAFINLAR(R) IS INDICATED, IN COMBINATION WITH TRAMETINIB, FOR THE TREATMENT OF PATIENTS WITH METASTATIC NON-SMALL CELL LUNG CANCER (NSCLC) WITH BRAF V600E MUTATION AS DETECTED BY AN FDA-APPROVED TEST."
"U-2028","TREATMENT OF ACUTE BACTERIAL SKIN AND SKIN STRUCTURE INFECTIONS CAUSED BY DESIGNATED SUSCEPTIBLE BACTERIA IN ADULTS"
"U-2029","PREVENTING CONDITION CHARACTERIZED BY UNDESIRED THROMBOSIS"
"U-2030","PROPHYLAXIS OF VENOUS THROMBOSIS"
"U-2031","TAFINLAR IS INDICATED AS A SINGLE AGENT FOR THE TREATMENT OF PATIENTS WITH UNRESECTABLE OR METASTATIC MELANOMA WITH BRAF V600E MUTATION AS DETECTED BY AN FDA-APPROVED TEST"
"U-2032","TAFINLAR IS INDICATED, IN COMBINATION WITH TRAMETINIB, FOR THE TREATMENT OF PATIENTS WITH UNRESECTABLE OR METASTATIC MELANOMA WITH BRAF V600E OR V600K MUTATIONS, AS DETECTED BY AN FDA-APPROVED TEST."
"U-2033","MEKINIST IS INDICATED, AS A SINGLE AGENT OR IN COMBINATION WITH DABRAFENIB, FOR THE TREATMENT OF PATIENTS WITH UNRESECTABLE OR METASTATIC MELANOMA WITH BRAF V600E OR V600K MUTATIONS"
"U-2034","INHIBITING COAGULATION"
"U-2035","PROPHYLAXIS OF VENOUS THROMBOEMBOLISM"
"U-2036","A METHOD OF TREATING PULMONARY HYPERTENSION COMPRISING PARENTERALLY ADMINISTERING A FORMULATION COMPRISING A) 0.1 TO 5% W/V OF TREPROSTINIL OR A PHARMACEUTICALLY ACCEPTABLE SALT THEREOF AND B) A CITRATE BUFFER"
"U-2037","MEKINIST IS INDICATED, AS A SINGLE AGENT OR IN COMBINATION WITH DABRAFENIB, FOR THE TREATMENT OF PATIENTS WITH UNRESECTABLE OR METASTATIC MELANOMA WITH BRAF V600E OR V600K MUTATIONS, AS DETECTED BY AN FDA-APPROVED TEST"
"U-2038","MEKINIST IS INDICATED, IN COMBINATION WITH DABRAFENIB, FOR THE TREATMENT OF PATIENTS WITH METASTATIC NON-SMALL CELL LUNG CANCER (NSCLC) WITH BRAF V600E MUTATION AS DETECTED BY AN FDA-APPROVED TEST"
"U-2039","TREATMENT OF ADULT PATIENTS WITH CHRONIC HCV INFECTION WHO HAVE GENOTYPE 1, 2, 3, 4, 5, OR 6 INFECTION AND HAVE PREVIOUSLY BEEN TREATED WITH AN HCV REGIMEN CONTAINING AN NS5A INHIBITOR"
"U-2040","TREATMENT OF ADULT PATIENTS WITH CHRONIC HCV INFECTION WHO HAVE GENOTYPE 1A OR 3 INFECTION AND HAVE PREVIOUSLY BEEN TREATED WITH AN HCV REGIMEN CONTAINING SOFOSBUVIR WITHOUT AN NS5A INHIBITOR"
"U-2041","TREATMENT OF PARTIAL-ONSET SEIZURES"
"U-2042","DISCONTINUING ADMINISTRATION OF FLUVOXAMINE TO AVOID DRUG INTERACTIONS WITH PIRFENIDONE AND THEN ADMINISTERING PIRFENIDONE"
"U-2043","EXTENDED ADJUVANT TREATMENT OF ADULT PATIENTS WITH EARLY STAGE HER2-OVEREXPRESSED/AMPLIFIED BREAST CANCER, TO FOLLOW ADJUVANT TRASTUZUMAB BASE THERAPY"
"U-2044","DOSE REDUCTION OF PIRFENIDONE BY ABOUT ONE HALF DURING CONCURRENT ADMINISTRATION OF CIPROFLOXACIN AT A DOSE OF 750 MG TWICE DAILY (1500 MG/DAY) TO REDUCE DRUG INTERACTIONS IN TREATMENT OF A FIBROTIC, INFLAMMATORY, OR AUTOIMMUNE DISORDER"
"U-2045","ADMINISTRATION OF PIRFENIDONE AND AVOIDING CONCURRENT ADMINISTRATION OF CIPROFLOXACIN AT A DOSE OF 750 MG TO REDUCE DRUG INTERACTIONS IN TREATMENT OF A FIBROTIC, INFLAMMATORY, OR AUTOIMMUNE DISORDER"
"U-2046","ADMINISTERING PIRFENIDONE WHILE AVOIDING CONCOMITANT USE OF A CYP1A2 INHIBITOR THAT IS A MODERATE TO STRONG INHIBITOR OF BOTH CYP1A2 AND ANOTHER CYP ENZYME SELECTED FROM CYP2C9, CYP2C19, AND CYP2D6"
"U-2047","ADMINISTERING PIRFENIDONE CONCURRENTLY WITH FLUVOXAMINE, THE PIRFENIDONE AT A DOSE OF ABOUT 801 MG/DAY TO REDUCE DRUG INTERACTIONS WITH FLUVOXAMINE"
"U-2048","ADMINISTERING PIRFENIDONE WHILE AVOIDING CO-ADMINISTRATION OF A STRONG CYP1A2 INHIBITOR TO AVOID DRUG INTERACTIONS WITH PIRFENIDONE"
"U-2049","DISCONTINUING ADMINISTRATION OF A STRONG CYP1A2 INHIBITOR TO AVOID DRUG INTERACTIONS WITH PIRFENIDONE AND THEN ADMINISTERING PIRFENIDONE"
"U-2050","ADMINISTERING PIRFENIDONE WHILE AVOIDING CO-ADMINISTRATION OF FLUVOXAMINE TO AVOID DRUG INTERACTIONS WITH PIRFENIDONE"
"U-2051","DISCONTINUING SMOKING TO AVOID REDUCED PIRFENIDONE EFFICACY AND THEN ADMINISTERING PIRFENIDONE"
"U-2052","DISCONTINUING ADMINISTRATION OF A STRONG CYP1A2 INDUCER TO AVOID REDUCED PIRFENIDONE EFFICACY AND THEN ADMINISTERING PIRFENIDONE"
"U-2053","ADMINISTERING PIRFENIDONE WHILE AVOIDING CONCOMITANT ADMINISTRATION OF A STRONG INDUCER OF CYP1A2, INCLUDING CIGARETTE SMOKE, TO AVOID REDUCED PIRFENIDONE EFFICACY"
"U-2054","ADMINISTERING PIRFENIDONE WHILE AVOIDING CONCOMITANT ADMINISTRATION OF A STRONG INDUCER OF CYP1A2 TO AVOID REDUCED PIRFENIDONE EFFICACY"
"U-2055","DOSING OF AT LEAST 1600 MG/DAY FOLLOWING GRADE 2 LIVER ABNORMALITY IN BIOMARKER AST AND/OR ALT AFTER PIRFENIDONE ADMINISTRATION IN TREATMENT OF IPF"
"U-2056","DOSAGE MODIFICATION FOLLOWING GRADE 2 ABNORMALITY IN BIOMARKER AST AND/OR ALT AFTER PIRFENIDONE ADMINISTRATION, BY ADMINISTERING SUB-1600 MG/DAY, FOLLOWING BY ADMINISTERING AT LEAST 1600 MG/DAY IN TREATMENT OF IPF"
"U-2057","DOSING 2403 MG/DAY PIRFENIDONE FOLLOWING GRADE 2 ABNORMALITY IN BIOMARKER AST AND/OR ALT AFTER PIRFENIDONE ADMINISTRATION IN TREATMENT OF IPF"
"U-2058","DOSAGE MODIFICATION FOLLOWING GRADE 2 ABNORMALITY IN BIOMARKER AST AND/OR ALT AFTER PIRFENIDONE ADMINISTRATION, BY ADMINISTERING SUB-2400MG/DAY DOSE, FOLLOWED BY ADMINISTERING 2403MG/DAY IN TREATMENT OF IPF"
"U-2059","DOSAGE MODIFICATION FOLLOWING GRADE 2 ABNORMALITY IN BIOMARKER AST AND/OR ALT AFTER PIRFENIDONE ADMINISTRATION, BY DISCONTINUING PIRFENIDONE UNTIL BIOMARKERS OF LIVER FUNCTION ARE WITHIN NORMAL LIMITS, FOLLOWED BY FULL DAILY DOSE IN TREATMENT OF IPF"
"U-2060","DOSAGE MODIFICATION FOLLOWING GRADE 2 ABNORMALITY IN BIOMARKER AST AND/OR ALT AFTER PIRFENIDONE ADMINISTRATION, BY DISCONTINUING PIRFENIDONE UNTIL BIOMARKERS OF LIVER FUNCTION ARE WITHIN NORMAL LIMITS, THEN AT LEAST 1600MG/DAY IN TREATMENT OF IPF"
"U-2061","DOSING OF AT LEAST 1600 MG/DAY FOLLOWING GRADE 2 ABNORMALITY IN LIVER FUNCTION BIOMARKER AFTER PIRFENIDONE ADMINISTRATION IN TREATMENT OF IPF"
"U-2062","DOSAGE MODIFICATION FOLLOWING GRADE 2 ABNORMALITY IN LIVER FUNCTION BIOMARKER AFTER PIRFENIDONE ADMINISTRATION, BY ADMINISTERING SUB-1600 MG/DAY DOSE, FOLLOWED BY ADMINISTERING AT LEAST 1600 MG/DAY DOSE IN TREATMENT OF IPF"
"U-2063","DOSAGE MODIFICATION FOLLOWING GRADE 2 ABNORMALITY IN LIVER FUNCTION BIOMARKER AFTER PIRFENIDONE ADMINISTRATION, BY DISCONTINUING PIRFENIDONE UNTIL BIOMARKERS ARE WITHIN NORMAL LIMITS, FOLLOWED BY ADMINISTERING AT LEAST 1600 MG/DAY IN TREATMENT OF IPF"
"U-2064","DOSING AT LEAST 1602 MG/DAY FOLLOWING GRADE 2 ABNORMALITY IN LIVER FUNCTION BIOMARKER ALT OR AST AFTER PIRFENIDONE ADMINISTRATION"
"U-2065","FULL DAILY DOSING FOLLOWING GRADE 2 ABNORMALITY IN LIVER FUNCTION BIOMARKER ALT OR AST AFTER PIRFENIDONE ADMINISTRATION"
"U-2066","DOSAGE MODIFICATION FOLLOWING GRADE 2 ABNORMALITY IN LIVER FUNCTION BIOMARKER ALT OR AST AFTER PIRFENIDONE ADMINISTRATION, BY ADMINISTERING SUB-2400 MG/DAY DOSE, FOLLOWED BY FULL DAILY DOSE"
"U-2067","DOSAGE MODIFICATION FOLLOWING GRADE 2 ABNORMALITY IN LIVER FUNCTION BIOMARKER ALT OR AST AFTER PIRFENIDONE ADMINISTRATION, BY DISCONTINUING PIRFENIDONE, FOLLOWED BY ADMINISTERING AT LEAST 1602 MG/DAY"
"U-2068","DOSAGE MODIFICATION FOLLOWING GRADE 2 ABNORMALITY IN LIVER FUNCTION BIOMARKER ALT OR AST AFTER PIRFENIDONE ADMINISTRATION, BY DISCONTINUING PIRFENIDONE UNTIL BIOMARKERS OF LIVER FUNCTION ARE WITHIN NORMAL LIMITS, FOLLOWED BY FULL DAILY DOSE"
"U-2069","DOSAGE MODIFICATION FOLLOWING GRADE 2 ABNORMALITY IN LIVER FUNCTION BIOMARKER ALT OR AST AFTER PIRFENIDONE ADMINISTRATION, BY ADMINISTERING A SUB-1600 MG/DAY DOSE, FOLLOWED BY ADMINISTERING AT LEAST 1602 MG/DAY"
"U-2070","DOSAGE MODIFICATION FOLLOWING GRADE 2 ABNORMALITY IN BIOMARKER ALT OR AST AFTER PIRFENIDONE ADMINISTRATION, BY DISCONTINUING PIRFENIDONE UNTIL BIOMARKERS OF LIVER FUNCTION ARE WITHIN NORMAL LIMITS, THEN SUB-1600 MG/DAY, THEN AT LEAST 1602 MG/DAY"
"U-2071","FULL DAILY DOSING FOLLOWING GRADE 2 ABNORMALITY IN LIVER FUNCTION BIOMARKER AFTER PIRFENIDONE ADMINISTRATION IN TREATMENT OF IPF"
"U-2072","FULL DAILY DOSING FOLLOWING GRADE 2 ABNORMALITY IN LIVER FUNCTION BIOMARKER AFTER PIRFENIDONE ADMINISTRATION IN TREATMENT OF IPF"
"U-2073","DOSAGE MODIFICATION FOLLOWING GRADE 2 ABNORMALITY IN LIVER FUNCTION BIOMARKER AFTER PIRFENIDONE ADMINISTRATION, BY DISCONTINUING PIRFENIDONE UNTIL BIOMARKERS ARE WITHIN NORMAL LIMITS, FOLLOWED BY ADMINISTERING FULL DAILY DOSE IN TREATMENT OF IPF"
"U-2074","DOSING 1602 MG/DAY PIRFENIDONE FOLLOWING GRADE 2 ABNORMALITY IN LIVER FUNCTION BIOMARKER AFTER PIRFENIDONE ADMINISTRATION IN TREATMENT OF IPF"
"U-2075","DOSAGE MODIFICATION FOLLOWING GRADE 2 ABNORMALITY IN LIVER FUNCTION BIOMARKER AFTER PIRFENIDONE ADMINISTRATION, BY DISCONTINUING PIRFENIDONE UNTIL BIOMARKERS ARE WITHIN NORMAL LIMITS FOLLOWED BY ADMINISTERING 1602 MG/DAY IN TREATMENT OF IPF"
"U-2076","DOSAGE MODIFICATION FOLLOWING GRADE 2 ABNORMALITY IN LIVER FUNCTION BIOMARKER AFTER PIRFENIDONE ADMINISTRATION, BY ADMINISTERING 801 MG/DAY FOLLOWED BY ADMINISTERING 1602 MG/DAY IN TREATMENT OF IPF"
"U-2077","DOSAGE MODIFICATION FOLLOWING GRADE 2 ABNORMALITY IN LIVER FUNCTION BIOMARKER AFTER PIRFENIDONE ADMINISTRATION, BY ADMINISTERING SUB-2400 MG/DAY DOSE THEN FULL DAY DAILY DOSE IN TREATMENT OF IPF"
"U-2078","DOSAGE MODIFICATION FOLLOWING GRADE 2 ABNORMALITY IN LIVER FUNCTION BIOMARKER AFTER PIRFENIDONE ADMINISTRATION, BY DISCONTINUING PIRFENIDONE UNTIL BIOMARKERS ARE WITHIN LIMITS, THEN SUB-2400MG/DAY DOSE, THEN FULL DAILY DOSE IN TREATMENT OF IPF"
"U-2079","PIRFENIDONE DOSE ESCALATION REGIMEN FOR TREATMENT OF FIBROSIS AS 801 MG/DAY FOR DAYS 1-7 OF THE REGIMEN, 1602 MG/DAY FOR DAYS 8-14 OF THE REGIMEN, AND 2403 MG/DAY FOR AT LEAST DAY 15 OF THE REGIMEN"
"U-2080","PIRFENIDONE DOSE ESCALATION REGIMEN FOR TREATMENT OF IPF AS 801 MG/DAY FOR DAYS 1-7 OF THE REGIMEN, 1602 MG/DAY FOR DAYS 8-14 OF THE REGIMEN, AND 2403 MG/DAY FOR AT LEAST DAY 15 OF THE REGIMEN"
"U-2081","DISCONTINUING USE OF A CYP1A2 INHIBITOR THAT IS A MODERATE TO STRONG INHIBITOR OF BOTH CYP1A2 AND ANOTHER CYP ENZYME SELECTED FROM CYP2C9, CYP2C19, AND CYP2D6 AND THEN ADMINISTERING PIRFENIDONE"
"U-2082","MODIFYING PIRFENIDONE ADMINISTRATION FROM A DOSE OF ABOUT 2400 MG/DAY DOWNWARD BY ABOUT 1600 MG/DAY WHILE CO-ADMINISTERING FLUVOXAMINE TO REDUCE DRUG INTERACTIONS WITH FLUVOXAMINE"
"U-2083","DOSAGE MODIFICATION FOLLOWING GRADE 2 ABNORMALITY IN LIVER FUNCTION BIOMARKER AFTER PIRFENIDONE ADMINISTRATION, BY DISCONTINUING PIRFENIDONE UNTIL BIOMARKERS ARE WITHIN NORMAL LIMITS, FOLLOWED BY 801 MG/DAY, DOSE, THEN 1602 MG/DAY IN TREATMENT OF IPF"
"U-2084","TREATMENT OF SEVERE CHRONIC PAIN VIA INTRATHECAL INFUSION OF ZICONOTIDE IN PATIENTS ALSO RECEIVING MORPHINE"
"U-2085","TREATMENT OF NON-24-HOUR SLEEP-WAKE DISORDER BY AVOIDING THE USE OF TASIMELTEON IN COMBINATION WITH RIFAMPIN"
"U-2086","A METHOD FOR ADMINISTERING ESTRADIOL COMPRISING A MONOLITHIC TRANSDERMAL DRUG DELIVERY SYSTEM CONSISTING OF (I) A BACKING LAYER AND (II) A SINGLE ADHESIVE POLYMER MATRIX LAYER AS CLAIMED IN US PATENT NO. 9730900"
"U-2087","TREATMENT OF RELAPSED OR REFRACTORY ACUTE MYELOID LEUKEMIA (AML) WITH AN ISOCITRATE DEHYDROGENASE-2 (IDH2) MUTATION"
"U-2088","TREATMENT OF PARTIAL-ONSET SEIZURES WITH OR WITHOUT SECONDARILY GENERALIZED SEIZURES IN PATIENTS WITH EPILEPSY"
"U-2089","TREATMENT OF PRIMARY GENERALIZED TONIC-CLONIC SEIZURES AS ADJUNCTIVE THERAPY IN PATIENTS WITH EPILEPSY"
"U-2090","FOR THE TREATMENT OF ADULTS WITH NEWLY-DIAGNOSED THERAPY-RELATED ACUTE MYELOID LEUKEMIA (T-AML) OR AML WITH MYELODYSPLASIA-RELATED CHANGES (AML-MRC)"
"U-2091","TREATMENT OF METASTATIC ADENOCARCINOMA OF THE PANCREAS THAT HAS PROGRESSED ON GEMCITABINE-BASED THERAPY, IN COMBINATION WITH 5-FLUOROURACIL AND LEUCOVORIN, IN A PATIENT NOT HOMOZYGOUS FOR THE UGT1A1*28 ALLELE"
"U-2092","METHOD FOR CONFIRMING DOSE DELIVERY"
"U-2093","TREATMENT OF TYPE II SPINAL MUSCULAR ATROPHY"
"U-2094","TREATMENT OF TYPE III SPINAL MUSCULAR ATROPHY"
"U-2095","MITOSOL IS AN ANTIMETABOLITE INDICATED AS AN ADJUNCT TO AB EXTERNO GLAUCOMA SURGERY. IT IS INTENDED FOR TOPICAL APPLICATION TO THE SITE OF GLAUCOMA FILTRATION SURGERY"
"U-2096","SOTYLIZE IS INDICATED FOR THE MAINTENANCE OF NORMAL SINUS RHYTHM [DELAY IN TIME TO RECURRENCE OF ATRIAL FIBRILLATION/ATRIAL FLUTTER (AFIB/AFL)] IN PATIENTS WITH SYMPTOMATIC AFIB/AFL WHO ARE CURRENTLY IN SINUS RHYTHM"
"U-2097","TREATMENT OF DMD IN PATIENTS HAVING A MUTATION OF THE DMD GENE THAT IS AMENABLE TO EXON 51 SKIPPING"
"U-2098","INCREASING PRODUCTION OF FUNCTIONAL DYSTROPHIN PROTEIN IN DMD PATIENTS HAVING A MUTATION OF THE DMD GENE THAT IS AMENABLE TO EXON 51 SKIPPING"
"U-2099","INDICATED FOR THE LONG-TERM, ONCE-DAILY, MAINTENANCE TREATMENT OF AIRFLOW OBSTRUCTION IN PATIENTS WITH CHRONIC OBSTRUCTIVE PULMONARY DISEASE (COPD), INCLUDING BRONCHITIS AND/OR EMPHYSEMA"
"U-2100","INDICATED FOR THE ONCE-DAILY TREATMENT OF ASTHMA IN PATIENTS 18 YEARS AND OLDER"
"U-2101","MAINTENANCE TREATMENT OF RECURRENT EPITHELIAL OVARIAN, FALLOPIAN TUBE OR PRIMARY PERITONEAL CANCER, WHO ARE IN A COMPLETE OR PARTIAL RESPONSE TO PLATINUM-BASED CHEMOTHERAPY"
"U-2102","TREATMENT OF DELETERIOUS OR SUSPECTED DELETERIOUS GERMLINE BRCA-MUTATED ADVANCED OVARIAN CANCER WHO HAVE BEEN TREATED WITH THREE OR MORE PRIOR LINES OF CHEMOTHERAPY BASED ON AN FDA-APPROVED COMPANION DIAGNOSTIC FOR LYNPARZA"
"U-2103","MAINTENANCE TREATMENT OF BRCA-MUTATED RECURRENT EPITHELIAL OVARIAN, FALLOPIAN TUBE OR PRIMARY PERITONEAL CANCER, WHO ARE IN A COMPLETE OR PARTIAL RESPONSE TO PLATINUM-BASED CHEMOTHERAPY"
"U-2104","TREATMENT OF HYPERURICEMIA ASSOCIATED WITH GOUT IN PATIENTS WHO HAVE NOT ACHIEVED TARGET SERUM URIC ACID LEVELS WITH A MEDICALLY APPROPRIATE DAILY DOSE OF ALLOPURINOL ALONE"
